ma_san_pham,ten_san_pham,nganh_hang,shop,gia,gia_goc,ty_le_giam,luot_ban,danh_gia,url,da_kiem_tra_gia_ao
279218500,Ship of Theseus - NXB Trẻ,1084,Tiki,46000,50000,0.08,0,5.0,https://tiki.vn/ship-of-theseus-01-nxb-tre-p279218500.html?spid=279533768,False
279157961,Sách Hikaru - Kì Thủ Cờ Vây - Ultimate Edition ( Chọn Tập),1084,Tiki,72200,80000,0.1,0,5.0,https://tiki.vn/hikaru-ki-thu-co-vay-ultimate-edition-tap-1-p279157961.html?spid=279277884,False
279112904,Thám Tử Lừng Danh Conan - Tập 107,1084,Tiki,23750,25000,0.05,0,5.0,https://tiki.vn/tham-tu-lung-danh-conan-tap-107-p279112904.html?spid=279112916,False
278997061,Sách Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-5 Tuổi - [Từ Tập 11 - Tập 20] - Chọn Tập Lẻ,856,Tiki,10971,16000,0.31,0,5.0,https://tiki.vn/sach-to-mau-phat-trien-tri-nao-bo-cho-be-1-5-tuoi-tu-tap-11-tap-20-chon-tap-le-p278997061.html?spid=278997091,False
278968251,Hàng Xóm Của Tôi TOTORO (Truyện tranh màu) - [Chọn Tập Lẻ,1084,Tiki,71250,75000,0.05,0,5.0,https://tiki.vn/hang-xom-cua-toi-totoro-truyen-tranh-mau-chon-tap-le-p278968251.html?spid=279180521,False
278967562,Monster - Deluxe Edition –  [Chọn Tập Lẻ,1084,Tiki,115900,115900,0.0,0,5.0,https://tiki.vn/monster-deluxe-edition-chon-tap-le-p278967562.html?spid=278706877,False
278879928,Sách Nếu Như Không Thể Nói Nếu Như & Có Ai Giữ Giùm Những Lãng Quên & Thức Dậy Anh Vẫn Là Mơ - Tái Bản 2025,68000,Tiki,75600,105000,0.28,0,5.0,https://tiki.vn/sach-neu-nhu-khong-the-noi-neu-nhu-co-ai-giu-gium-nhung-lang-quen-thuc-day-anh-van-la-mo-tai-ban-2025-p278879928.html?spid=278879977,False
278856619,Sách Cô Bé Hàng Xóm Và Bốn Viên Kẹo (Nguyễn Nhật Ánh) - 2 phiên bản & quà tặng kèm,67996,Tiki,86000,115000,0.25,0,5.0,https://tiki.vn/sach-co-be-hang-xom-va-bon-vien-keo-p278856619.html?spid=278856627,False
278790552,Bộ Truyện One Piece [Chọn Tập Lẻ,1084,Tiki,22800,25000,0.09,0,5.0,https://tiki.vn/bo-truyen-one-piece-chon-tap-le-p278790552.html?spid=278790687,False
278788044,Sách BEASTARS [Chọn Tập Lẻ,1084,Tiki,28350,31500,0.1,0,5.0,https://tiki.vn/sach-beastars-chon-tap-le-p278788044.html?spid=279374884,False
278785576,Sách Dragon Ball - 7 Viên Ngọc Rồng [Chọn Tập Lẻ] - Tập 1,1084,Tiki,28500,30000,0.05,0,4.8,https://tiki.vn/sach-dragon-ball-7-vien-ngoc-rong-chon-tap-le-p278785576.html?spid=92281,False
278777861,Bộ Sách Quiz! Khoa Học Kì Thú [Chọn Tập Lẻ,853,Tiki,55200,75000,0.26,0,5.0,https://tiki.vn/bo-sach-quiz-khoa-hoc-ki-thu-p278777861.html?spid=278826432,False
278777851,Sách Ma Đạo Tổ Sư - Tái Bản,67998,Tiki,112800,179000,0.37,0,5.0,https://tiki.vn/sach-ma-dao-to-su-tai-ban-2025-p278777851.html?spid=278777815,False
278715265,Sách Hà Thanh Hải Yến - Ngang Qua Ngõ Nhỏ Bình An,67996,Tiki,122200,196000,0.38,0,5.0,https://tiki.vn/sach-ha-thanh-hai-yen-ngang-qua-ngo-nho-binh-an-p278715265.html?spid=278715267,False
278710197,Rắc Rối Đáng Yêu - Love☆Com,1084,Tiki,45000,50000,0.1,0,5.0,https://tiki.vn/rac-roi-dang-yeu-love-com-p278710197.html?spid=279394160,False
278706881,Itto - Sóng Gió Cầu Trường - [Tái Bản 2025,1084,Tiki,23750,25000,0.05,0,5.0,https://tiki.vn/itto-song-gio-cau-truong-tai-ban-2025-p278706881.html?spid=278706948,False
278523761,Siêu Quậy Teppei Tập 1 – Tập 31,1084,Tiki,22500,25000,0.1,0,5.0,https://tiki.vn/sieu-quay-teppei-tap-1-tap-31-p278523761.html?spid=278523800,False
278496130,Thanh Gươm Diệt Quỷ,1084,Tiki,28500,30000,0.05,0,5.0,https://tiki.vn/thanh-guom-diet-quy-tap-1-tan-khoc-p278496130.html?spid=48035298,False
