ma_san_pham,ten_san_pham,nganh_hang,shop,gia,gia_goc,ty_le_giam,luot_ban,danh_gia,url,da_kiem_tra_gia_ao
279325148,Bút bi Claro ARROW 0.5mm Mực Xanh (Giao Màu Ngẫu Nhiên),Sách tiếng Việt,Tiki,3750,5000,0.25,499,0.0,https://tiki.vn/but-bi-claro-arrow-0-5mm-muc-xanh-p279325148.html?spid=279325149,False
279218500,Ship of Theseus - NXB Trẻ,Truyện tranh/Manga,Tiki,46000,50000,0.08,326,5.0,https://tiki.vn/ship-of-theseus-01-nxb-tre-p279218500.html?spid=279533768,False
279157961,Sách Hikaru - Kì Thủ Cờ Vây - Ultimate Edition ( Chọn Tập),Truyện tranh/Manga,Tiki,72200,72200,0.0,400,5.0,https://tiki.vn/hikaru-ki-thu-co-vay-ultimate-edition-tap-1-p279157961.html?spid=279277884,False
279112904,Thám Tử Lừng Danh Conan - Tập 107,Truyện tranh/Manga,Tiki,23750,25000,0.05,274,5.0,https://tiki.vn/tham-tu-lung-danh-conan-tap-107-p279112904.html?spid=279112916,False
278997061,Sách Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-5 Tuổi - [Từ Tập 11 - Tập 20] - Chọn Tập Lẻ,Sách ngoại văn,Tiki,10971,16000,0.31,199,5.0,https://tiki.vn/sach-to-mau-phat-trien-tri-nao-bo-cho-be-1-5-tuoi-tu-tap-11-tap-20-chon-tap-le-p278997061.html?spid=278997091,False
278968251,Hàng Xóm Của Tôi TOTORO (Truyện tranh màu) - [Chọn Tập Lẻ,Truyện tranh/Manga,Tiki,71250,75000,0.05,172,5.0,https://tiki.vn/hang-xom-cua-toi-totoro-truyen-tranh-mau-chon-tap-le-p278968251.html?spid=278968553,False
278967562,Monster - Deluxe Edition –  [Chọn Tập Lẻ,Truyện tranh/Manga,Tiki,115900,115900,0.0,515,5.0,https://tiki.vn/monster-deluxe-edition-chon-tap-le-p278967562.html?spid=278706877,False
278879928,Sách Nếu Như Không Thể Nói Nếu Như & Có Ai Giữ Giùm Những Lãng Quên & Thức Dậy Anh Vẫn Là Mơ - Tái Bản 2025,Nước hoa,Tiki,75000,125000,0.4,317,5.0,https://tiki.vn/sach-neu-nhu-khong-the-noi-neu-nhu-co-ai-giu-gium-nhung-lang-quen-thuc-day-anh-van-la-mo-tai-ban-2025-p278879928.html?spid=278879979,False
278856619,Sách Cô Bé Hàng Xóm Và Bốn Viên Kẹo (Nguyễn Nhật Ánh) - 2 phiên bản & quà tặng kèm,Sản phẩm cho bé,Tiki,86000,115000,0.25,888,5.0,https://tiki.vn/sach-co-be-hang-xom-va-bon-vien-keo-p278856619.html?spid=278856627,False
278790552,Bộ Truyện One Piece [Chọn Tập Lẻ,Truyện tranh/Manga,Tiki,22800,25000,0.09,346,5.0,https://tiki.vn/bo-truyen-one-piece-chon-tap-le-p278790552.html?spid=278790687,False
278785576,Sách Dragon Ball - 7 Viên Ngọc Rồng [Chọn Tập Lẻ,Truyện tranh/Manga,Tiki,28500,30000,0.05,270,4.8,https://tiki.vn/sach-dragon-ball-7-vien-ngoc-rong-chon-tap-le-p278785576.html?spid=278785631,False
278777861,Bộ Sách Quiz! Khoa Học Kì Thú [Chọn Tập Lẻ,Vitamin & Thực phẩm bổ sung,Tiki,55200,75000,0.26,1013,5.0,https://tiki.vn/bo-sach-quiz-khoa-hoc-ki-thu-p278777861.html?spid=278826470,False
278777851,Sách Ma Đạo Tổ Sư - Tái Bản,Sách thiếu nhi,Tiki,122900,189000,0.35,170,5.0,https://tiki.vn/sach-ma-dao-to-su-tai-ban-2025-p278777851.html?spid=278777816,False
278729070,Sách Chu Du Ẩm Thực Tại Dị Giới Với Kĩ Năng Không Tưởng - Sui Phiêu Lưu Ký  [Chọn Tập Lẻ,Truyện tranh/Manga,Tiki,33250,35000,0.05,152,5.0,https://tiki.vn/chu-du-am-thuc-tai-di-gioi-voi-ki-nang-khong-tuong-sui-phieu-luu-ky-tap-1-tang-kem-bookmark-p278729070.html?spid=278788154,False
278715265,Sách Hà Thanh Hải Yến - Ngang Qua Ngõ Nhỏ Bình An,Sản phẩm cho bé,Tiki,143700,196000,0.27,73,5.0,https://tiki.vn/sach-ha-thanh-hai-yen-ngang-qua-ngo-nho-binh-an-p278715265.html?spid=278715267,False
278710197,Rắc Rối Đáng Yêu - Love☆Com,Truyện tranh/Manga,Tiki,45000,50000,0.1,270,5.0,https://tiki.vn/rac-roi-dang-yeu-love-com-p278710197.html?spid=279394160,False
278706881,Itto - Sóng Gió Cầu Trường - [Tái Bản 2025,Truyện tranh/Manga,Tiki,23750,25000,0.05,225,5.0,https://tiki.vn/itto-song-gio-cau-truong-tai-ban-2025-p278706881.html?spid=278706948,False
278523761,Siêu Quậy Teppei Tập 1 – Tập 31,Truyện tranh/Manga,Tiki,22500,25000,0.1,310,5.0,https://tiki.vn/sieu-quay-teppei-tap-1-tap-31-p278523761.html?spid=278523776,False
278496130,Thanh Gươm Diệt Quỷ,Truyện tranh/Manga,Tiki,28500,30000,0.05,4525,5.0,https://tiki.vn/thanh-guom-diet-quy-tap-1-tan-khoc-p278496130.html?spid=48035298,False
278463126,Komi - Nữ Thần Sợ Giao Tiếp ( Chọn Tập Lẻ),Truyện tranh/Manga,Tiki,27000,30000,0.1,975,4.8,https://tiki.vn/komi-nu-than-so-giao-tiep-chon-tap-le-p278463126.html?spid=144779881,False
278275166,Hoa Thơm Kiêu Hãnh (Chọn tập lẻ),Truyện tranh/Manga,Tiki,49900,55000,0.09,727,5.0,https://tiki.vn/hoa-thom-kieu-hanh-p278275166.html?spid=279296167,False
277962612,Sách Thiên Quan Tứ Phúc,Sách thiếu nhi,Tiki,107600,169000,0.36,490,4.8,https://tiki.vn/sach-thien-quan-tu-phuc-p277962612.html?spid=277962709,False
277591013,Bộ Truyện - Itto - Cơn lốc sân cỏ,Truyện tranh/Manga,Tiki,166250,175000,0.05,205,5.0,https://tiki.vn/bo-truyen-itto-con-loc-san-co-p277591013.html?spid=277591041,False
277228103,Sách Husky Và Sư Tôn Mèo Trắng Của Hắn,Sách thiếu nhi,Tiki,109900,169000,0.35,282,5.0,https://tiki.vn/sach-husky-va-su-ton-meo-trang-cua-han-p277228103.html?spid=278093885,False
276933744,Combo Giáo Trình Chuẩn HSK 1 - Sách Bài Học và Bài tập (Bộ 2 cuốn),Đồ chơi học tập,Tiki,296000,356000,0.17,872,4.7,https://tiki.vn/combo-giao-trinh-chuan-hsk-1-sach-bai-hoc-va-bai-tap-bo-2-cuon-p276933744.html?spid=276949257,False
276659602,Series các tập Claymore,Truyện tranh/Manga,Tiki,35000,40000,0.13,864,5.0,https://tiki.vn/claymore-01-sat-thu-mat-bac-p276659602.html?spid=277815806,False
