ma_san_pham,ten_san_pham,nganh_hang,shop,gia,gia_goc,ty_le_giam,luot_ban,danh_gia,url,da_kiem_tra_gia_ao
1080002,Sách Boxset Harry Potter - Tiếng Việt (Trọn Bộ 7 Tập),Điện thoại (Cũ),Tiki,1374000,1750000,0.21,10882,4.7,https://tiki.vn/sach-boxset-harry-potter-tieng-viet-tron-bo-7-tap-p1080002.html?spid=1080024,True
19824204,Combo Doraemon Truyện Ngắn (45 Tập) - Tái Bản,Điện thoại (Cũ),Tiki,982800,1119000,0.12,3068,4.8,https://tiki.vn/combo-doraemon-truyen-ngan-45-tap-tai-ban-p19824204.html?spid=19824205,True
509618,Combo Dragon Ball (Trọn Bộ 42 Tập),Điện thoại (Cũ),Tiki,1192250,1260000,0.05,3093,4.8,https://tiki.vn/combo-dragon-ball-tron-bo-42-tap-p509618.html?spid=226387,True
279411794,Máy tính bảng Samsung Galaxy Tab A11 4G ( 4GB/64GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,6990000,6990000,0.0,110,0.0,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a11-4g-4gb-64gb-p279411794.html?spid=279412568,True
279411764,Máy Tính Bảng Samsung Galaxy Tab A11 WiFi (4GB/64GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,5990000,5990000,0.0,182,0.0,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a11-wifi-4gb-64gb-p279411764.html?spid=279411768,True
279314917,Điện thoại Xiaomi Redmi Note 15 Pro 12GB/256GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,7590000,7590000,0.0,7,4.7,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-pro-12gb-256gb-hang-chinh-hang-p279314917.html?spid=279322849,True
279314906,Điện thoại Xiaomi Redmi Note 15 Pro 8GB/256GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,7250000,7250000,0.0,0,0.0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-pro-8gb-256gb-hang-chinh-hang-p279314906.html?spid=279314910,True
279297038,Điện Thoại Samsung Galaxy A57 5G 8GB/128GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,10199000,12490000,0.18,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a57-5g-8gb-128gb-hang-chinh-hang-p279297038.html?spid=279297040,True
279257510,Điện Thoại Samsung Galaxy A57 5G ( 8GB/128GB) - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,12490000,12490000,0.0,13,4.8,https://tiki.vn/dien-thoai-samsung-galaxy-a57-5g-8gb-128gb-hang-chinh-hang-p279257510.html?spid=279257516,True
279257463,Điện Thoại Samsung Galaxy A37 5G (8GB/128GB) - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,10990000,10990000,0.0,3,5.0,https://tiki.vn/dien-thoai-samsung-galaxy-a37-5g-hang-chinh-hang-p279257463.html?spid=279257465,True
279254865,Điện Thoại Xiaomi Redmi Note 15 Pro 5G 12GB/256GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,9839000,11490000,0.14,0,5.0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-pro-5g-12gb-256gb-hang-chinh-hang-p279254865.html?spid=279254871,True
279231976,Apple iPad Air M4 11-Inch Wi-Fi,Điện thoại (Cũ),Tiki,18990000,18990000,0.0,9,5.0,https://tiki.vn/apple-ipad-air-m4-11-inch-wi-fi-hang-chinh-hang-p279231976.html?spid=279231986,True
279211779,Điện thoại Samsung Galaxy A07 5G (4GB/128GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,5090000,5090000,0.0,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a07-5g-4gb-128gb-hang-chinh-hang-p279211779.html?spid=279211783,True
279188180,Máy Tính Bảng Galaxy Tab S10 Lite Wifi (8GB/256GB) - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,11990000,11990000,0.0,97,0.0,https://tiki.vn/may-tinh-bang-galaxy-tab-s10-lite-wifi-8gb-256gb-hang-chinh-hang-p279188180.html?spid=279188182,True
279185853,Điện Thoại Samsung Galaxy S26 Ultra (12GB/256GB) - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,27900000,36990000,0.25,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-s26-ultra-12gb-256gb-hang-chinh-hang-p279185853.html?spid=279185857,True
