ma_san_pham,ten_san_pham,gia,gia_goc,ty_le_giam,luot_ban,danh_gia,nganh_hang,nen_tang,shop,url,da_kiem_tra_gia_ao
13920941,Combo Doraemon - Truyện Dài (Trọn Bộ 24 Cuốn) - Tái Bản,529200.0,597000.0,0.11,4947,5.0,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/combo-doraemon-truyen-dai-tron-bo-24-cuon-tai-ban-p13920941.html?spid=13920942,True
1080002,Sách Boxset Harry Potter - Tiếng Việt (Trọn Bộ 7 Tập),1473000.0,1750000.0,0.16,10884,4.7,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/sach-boxset-harry-potter-tieng-viet-tron-bo-7-tap-p1080002.html?spid=1080024,True
273182700,Combo Dragon Ball Super,662400.0,690000.0,0.04,136,5.0,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/combo-dragon-ball-super-p273182700.html?spid=277815791,True
176831144,Combo 23 Tập Thanh Gươm Diệt Quỷ (Tập 1-23),662400.0,690000.0,0.04,342,5.0,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/combo-23-tap-thanh-guom-diet-quy-tap-1-23-p176831144.html?spid=176831145,True
19824204,Combo Doraemon Truyện Ngắn (45 Tập) - Tái Bản,982800.0,1122000.0,0.12,3076,4.8,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/combo-doraemon-truyen-ngan-45-tap-tai-ban-p19824204.html?spid=19824205,True
279651026,Bộ Truyện BlueLock,864500.0,910000.0,0.05,8,5.0,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/bo-truyen-bluelock-p279651026.html?spid=278095444,True
277447120,[5 REAMS] Thùng 5 Ream Giấy A4 Deli Giấy In Photo Copy 70gsm Chính Hãng Loại Dày 2500 Tờ Chống Lóa Giấy Mắt,621000.0,621000.0,0.0,112,5.0,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/thung-5-ream-giay-a4-deli-giay-in-photo-copy-70gsm-chinh-hang-loai-day-ream-500-to-chong-loa-giay-mat-p277447120.html?spid=277447121,True
104769768,Máy Tính CASIO FX580VN X-PK (Màu,744000.0,950000.0,0.22,5133,5.0,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/may-tinh-casio-fx580vn-x-p104769768.html?spid=104769772,True
509618,Combo Dragon Ball (Trọn Bộ 42 Tập),1192250.0,1260000.0,0.05,3094,4.8,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/combo-dragon-ball-tron-bo-42-tap-p509618.html?spid=226387,True
278706972,Combo Itto – Sóng Gió Cầu Trường (26 Tập),617500.0,650000.0,0.05,61,5.0,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/combo-itto-song-gio-cau-truong-26-tap-p278706972.html?spid=278706973,True
130230756,Combo Trọn Bộ 31 Tập: Siêu Quậy Teppei,736250.0,775000.0,0.05,340,5.0,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/combo-tron-bo-31-tap-sieu-quay-teppei-p130230756.html?spid=130230757,True
274145959,Combo Truyện - Haikyu,570000.0,600000.0,0.05,143,4.5,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/haikyu-premium-boxset-p274145959.html?spid=277931540,True
21767618,Combo One Piece (101 Tập) (Tái Bản),2695500.0,3020000.0,0.11,124,4.6,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/combo-one-piece-90-tap-tai-ban-p21767618.html?spid=21767619,True
279022301,Frieren - Pháp Sư Tiễn Táng Trọn Bộ 13 Tập,555750.0,585000.0,0.05,5,5.0,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/frieren-phap-su-tien-tang-tron-bo-12-tap-p279022301.html?spid=279022302,True
278729097,Premium Boxset Thanh Gươm Diệt Quỷ - Kimetsu No Yaiba (Hộp 23 Tập),892000.0,920000.0,0.03,37,4.8,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/premium-boxset-thanh-guom-diet-quy-kimetsu-no-yaiba-hop-23-tap-p278729097.html?spid=278729100,True
272457463, Trọn Bộ 42 tập Dragon Ball - 7 Viên Ngọc Rồng,1450000.0,1450000.0,0.0,10,0.0,Sách tiếng Việt,Tiki,Tiki,https://tiki.vn/tron-bo-42-tap-dragon-ball-7-vien-ngoc-rong-p272457463.html?spid=272457464,True
279645260,Điện thoại Xiaomi Redmi 17 (6GB/256GB) - Hàng chính hãng,7490000.0,7490000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-17-6gb-256gb-hang-chinh-hang-p279645260.html?spid=279645264,True
279645250,Điện thoại Xiaomi Redmi 17 5G (4GB/128GB) - Hàng chính hãng,6490000.0,6490000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-17-5g-4gb-128gb-hang-chinh-hang-p279645250.html?spid=279645252,True
279638770,Điện Thoại Xiaomi Redmi 17 6GB/256GB - Hàng Chính Hãng,6579000.0,7490000.0,0.12,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-17-6gb-256gb-hang-chinh-hang-p279638770.html?spid=279638772,True
279638757,Điện Thoại Oppo A6t Pro 8GB/128GB - Hàng Chính Hãng,8399000.0,8990000.0,0.07,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-oppo-a6t-pro-8gb-128gb-hang-chinh-hang-p279638757.html?spid=279638759,True
279576348,Điện thoại Xiaomi Redmi A7 (3GB/64GB) - Hàng chính hãng,3890000.0,3890000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-a7-3gb-64gb-hang-chinh-hang-p279576348.html?spid=279576352,True
279564458,Điện Thoại Xiaomi Redmi Note 15 Pro 5G 8GB/256GB - Hàng Chính Hãng,8729000.0,10490000.0,0.17,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-pro-5g-8gb-256gb-hang-chinh-hang-p279564458.html?spid=279564460,True
279564330,Điện Thoại Realme Note 80 4GB/64GB - Hàng Chính Hãng,3559000.0,3990000.0,0.11,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-realme-note-80-4gb-64gb-hang-chinh-hang-p279564330.html?spid=279564332,True
