ma_san_pham,ten_san_pham,nganh_hang,shop,gia,gia_goc,ty_le_giam,luot_ban,danh_gia,url,da_kiem_tra_gia_ao,gia_sc,danh_gia_sc,luot_ban_sc,ty_le_giam_sc,value_score,cum,ten_cum
279218500,Ship of Theseus - NXB Trẻ,Truyện tranh/Manga,Tiki,46000,50000,0.08,273,5.0,https://tiki.vn/ship-of-theseus-01-nxb-tre-p279218500.html?spid=279533768,False,0.9748066781430171,1.0,0.0067540821375556654,0.20512820512820512,71.17863081975385,0,Rẻ - Đáng tin
279157961,Sách Hikaru - Kì Thủ Cờ Vây - Ultimate Edition ( Chọn Tập),Truyện tranh/Manga,Tiki,72200,80000,0.1,367,5.0,https://tiki.vn/hikaru-ki-thu-co-vay-ultimate-edition-tap-1-p279157961.html?spid=279277884,False,0.9569090362598027,1.0,0.009079663532904502,0.2564102564102564,71.02205728515275,0,Rẻ - Đáng tin
279112904,Thám Tử Lừng Danh Conan - Tập 107,Truyện tranh/Manga,Tiki,23750,25000,0.05,262,5.0,https://tiki.vn/tham-tu-lung-danh-conan-tap-107-p279112904.html?spid=279112916,False,0.9900060114217012,1.0,0.006481939633844631,0.1282051282051282,71.01193053159622,0,Rẻ - Đáng tin
278997061,Sách Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-5 Tuổi - [Từ Tập 11 - Tập 20] - Chọn Tập Lẻ,Ngành 856,Tiki,10971,16000,0.31,199,5.0,https://tiki.vn/sach-to-mau-phat-trien-tri-nao-bo-cho-be-1-5-tuoi-tu-tap-11-tap-20-chon-tap-le-p278997061.html?spid=278997091,False,0.998735552094434,1.0,0.0049233052944087086,0.7948717948717948,77.99660613838348,1,Tầm trung - Ổn định
278968251,Hàng Xóm Của Tôi TOTORO (Truyện tranh màu) - [Chọn Tập Lẻ,Truyện tranh/Manga,Tiki,71250,75000,0.05,165,5.0,https://tiki.vn/hang-xom-cua-toi-totoro-truyen-tranh-mau-chon-tap-le-p278968251.html?spid=279180521,False,0.9575579965570948,1.0,0.0040821375556655114,0.1282051282051282,69.66601389544837,0,Rẻ - Đáng tin
278967562,Monster - Deluxe Edition –  [Chọn Tập Lẻ,Truyện tranh/Manga,Tiki,115900,115900,0.0,509,5.0,https://tiki.vn/monster-deluxe-edition-chon-tap-le-p278967562.html?spid=278706877,False,0.9270568625843648,1.0,0.012592775853537852,0.0,67.33413002044534,0,Rẻ - Đáng tin
278879928,Sách Nếu Như Không Thể Nói Nếu Như & Có Ai Giữ Giùm Những Lãng Quên & Thức Dậy Anh Vẫn Là Mơ - Tái Bản 2025,Ngành 68000,Tiki,75600,105000,0.28,312,5.0,https://tiki.vn/sach-neu-nhu-khong-the-noi-neu-nhu-co-ai-giu-gium-nhung-lang-quen-thuc-day-anh-van-la-mo-tai-ban-2025-p278879928.html?spid=278879977,False,0.9545864415115993,1.0,0.0077189510143493316,0.717948717948718,75.51732386023814,1,Tầm trung - Ổn định
278856619,Sách Cô Bé Hàng Xóm Và Bốn Viên Kẹo (Nguyễn Nhật Ánh) - 2 phiên bản & quà tặng kèm,Sản phẩm cho bé,Tiki,86000,115000,0.25,876,5.0,https://tiki.vn/sach-co-be-hang-xom-va-bon-vien-keo-p278856619.html?spid=278856627,False,0.9474820340465065,1.0,0.021672439386442355,0.641025641025641,74.74298655984552,1,Tầm trung - Ổn định
278790552,Bộ Truyện One Piece [Chọn Tập Lẻ,Truyện tranh/Manga,Tiki,22800,25000,0.09,346,5.0,https://tiki.vn/bo-truyen-one-piece-chon-tap-le-p278790552.html?spid=278790687,False,0.9906549717189934,1.0,0.008560118753092528,0.23076923076923073,72.1050935515139,0,Rẻ - Đáng tin
278788044,Sách BEASTARS [Chọn Tập Lẻ,Truyện tranh/Manga,Tiki,28350,31500,0.1,273,5.0,https://tiki.vn/sach-beastars-chon-tap-le-p278788044.html?spid=279374884,False,0.9868636773506025,1.0,0.0067540821375556654,0.2564102564102564,72.17373130087778,0,Rẻ - Đáng tin
278785576,Sách Dragon Ball - 7 Viên Ngọc Rồng [Chọn Tập Lẻ] - Tập 1,Truyện tranh/Manga,Tiki,28500,30000,0.05,404,4.8,https://tiki.vn/sach-dragon-ball-7-vien-ngoc-rong-chon-tap-le-p278785576.html?spid=92281,False,0.9867612099352406,0.96,0.00999505195447798,0.1282051282051282,69.75240071855046,0,Rẻ - Đáng tin
278777861,Bộ Sách Quiz! Khoa Học Kì Thú [Chọn Tập Lẻ,Vitamin & Thực phẩm bổ sung,Tiki,55200,75000,0.26,945,5.0,https://tiki.vn/bo-sach-quiz-khoa-hoc-ki-thu-p278777861.html?spid=278826432,False,0.9685220100008197,1.0,0.02337951509153884,0.6666666666666666,75.87513736853023,1,Tầm trung - Ổn định
278777851,Sách Ma Đạo Tổ Sư - Tái Bản,Sách thiếu nhi,Tiki,112800,179000,0.37,158,5.0,https://tiki.vn/sach-ma-dao-to-su-tai-ban-2025-p278777851.html?spid=278777815,False,0.9291745225018444,1.0,0.0039089559623948535,0.9487179487179486,76.73233950650116,1,Tầm trung - Ổn định
278715265,Sách Hà Thanh Hải Yến - Ngang Qua Ngõ Nhỏ Bình An,Sản phẩm cho bé,Tiki,122200,196000,0.38,69,5.0,https://tiki.vn/sach-ha-thanh-hai-yen-ngang-qua-ngo-nho-binh-an-p278715265.html?spid=278715267,False,0.9227532311391644,1.0,0.0017070757050964868,0.9743589743589743,76.68786050325825,1,Tầm trung - Ổn định
278710197,Rắc Rối Đáng Yêu - Love☆Com,Truyện tranh/Manga,Tiki,45000,50000,0.1,235,5.0,https://tiki.vn/rac-roi-dang-yeu-love-com-p278710197.html?spid=279394160,False,0.9754897942454299,1.0,0.005813953488372093,0.2564102564102564,71.69997340368721,0,Rẻ - Đáng tin
