ma_san_pham,ten_san_pham,gia,danh_gia,luot_ban,url,nen_tang,nganh_hang,da_kiem_tra_gia_ao
279325148,Bút bi Claro ARROW 0.5mm Mực Xanh (Giao Màu Ngẫu Nhiên),3750.0,0.0,499,https://tiki.vn/but-bi-claro-arrow-0-5mm-muc-xanh-p279325148.html?spid=279325149,Tiki,Sách tiếng Việt,False
279218500,Ship of Theseus - NXB Trẻ,46000.0,5.0,308,https://tiki.vn/ship-of-theseus-01-nxb-tre-p279218500.html?spid=279533768,Tiki,Truyện tranh/Manga,False
279157961,Sách Hikaru - Kì Thủ Cờ Vây - Ultimate Edition ( Chọn Tập),72200.0,5.0,400,https://tiki.vn/hikaru-ki-thu-co-vay-ultimate-edition-tap-1-p279157961.html?spid=279277884,Tiki,Truyện tranh/Manga,False
279112904,Thám Tử Lừng Danh Conan - Tập 107,23750.0,5.0,269,https://tiki.vn/tham-tu-lung-danh-conan-tap-107-p279112904.html?spid=279112916,Tiki,Truyện tranh/Manga,False
278997061,Sách Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-5 Tuổi - [Từ Tập 11 - Tập 20] - Chọn Tập Lẻ,10971.0,5.0,199,https://tiki.vn/sach-to-mau-phat-trien-tri-nao-bo-cho-be-1-5-tuoi-tu-tap-11-tap-20-chon-tap-le-p278997061.html?spid=278997091,Tiki,Sách ngoại văn,False
278968251,Hàng Xóm Của Tôi TOTORO (Truyện tranh màu) - [Chọn Tập Lẻ,71250.0,5.0,171,https://tiki.vn/hang-xom-cua-toi-totoro-truyen-tranh-mau-chon-tap-le-p278968251.html?spid=279180521,Tiki,Truyện tranh/Manga,False
278967562,Monster - Deluxe Edition –  [Chọn Tập Lẻ,118750.0,5.0,496,https://tiki.vn/monster-deluxe-edition-chon-tap-le-p278967562.html?spid=279445409,Tiki,Truyện tranh/Manga,False
278879928,Sách Nếu Như Không Thể Nói Nếu Như & Có Ai Giữ Giùm Những Lãng Quên & Thức Dậy Anh Vẫn Là Mơ - Tái Bản 2025,79350.0,5.0,315,https://tiki.vn/sach-neu-nhu-khong-the-noi-neu-nhu-co-ai-giu-gium-nhung-lang-quen-thuc-day-anh-van-la-mo-tai-ban-2025-p278879928.html?spid=278879978,Tiki,Sách ngoại văn,False
278856619,Sách Cô Bé Hàng Xóm Và Bốn Viên Kẹo (Nguyễn Nhật Ánh) - 2 phiên bản & quà tặng kèm,86000.0,5.0,883,https://tiki.vn/sach-co-be-hang-xom-va-bon-vien-keo-p278856619.html?spid=278856627,Tiki,Sách ngoại văn,False
278790552,Bộ Truyện One Piece [Chọn Tập Lẻ,22800.0,5.0,346,https://tiki.vn/bo-truyen-one-piece-chon-tap-le-p278790552.html?spid=278790687,Tiki,Truyện tranh/Manga,False
278785576,Sách Dragon Ball - 7 Viên Ngọc Rồng [Chọn Tập Lẻ] - Tập 1,28500.0,4.8,404,https://tiki.vn/sach-dragon-ball-7-vien-ngoc-rong-chon-tap-le-p278785576.html?spid=92281,Tiki,Truyện tranh/Manga,False
