ma_san_pham,ten_san_pham,gia,danh_gia,luot_ban,url,nen_tang,nganh_hang,gia_goc,ty_le_giam,shop,da_kiem_tra_gia_ao
279297038,Điện Thoại Samsung Galaxy A57 5G 8GB/128GB - Hàng Chính Hãng,10199000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-a57-5g-8gb-128gb-hang-chinh-hang-p279297038.html?spid=279297040,Tiki,Ngành 1795,10199000.0,0.0,Tiki,True
279257510,Điện Thoại Samsung Galaxy A57 5G ( 8GB/128GB) - Hàng Chính Hãng,12490000.0,4.8,13,https://tiki.vn/dien-thoai-samsung-galaxy-a57-5g-8gb-128gb-hang-chinh-hang-p279257510.html?spid=279257516,Tiki,Ngành 1795,12490000.0,0.0,Tiki,True
279257463,Điện Thoại Samsung Galaxy A37 5G (8GB/128GB) - Hàng Chính Hãng,10990000.0,5.0,3,https://tiki.vn/dien-thoai-samsung-galaxy-a37-5g-hang-chinh-hang-p279257463.html?spid=279257465,Tiki,Ngành 1795,10990000.0,0.0,Tiki,True
279231976,Apple iPad Air M4 11-Inch Wi-Fi,18490000.0,5.0,9,https://tiki.vn/apple-ipad-air-m4-11-inch-wi-fi-hang-chinh-hang-p279231976.html?spid=279231986,Tiki,Ngành 1794,18490000.0,0.0,Tiki,True
279188180,Máy Tính Bảng Galaxy Tab S10 Lite Wifi (8GB/256GB) - Hàng Chính Hãng,11990000.0,0.0,97,https://tiki.vn/may-tinh-bang-galaxy-tab-s10-lite-wifi-8gb-256gb-hang-chinh-hang-p279188180.html?spid=279188182,Tiki,Ngành 1794,11990000.0,0.0,Tiki,True
279185853,Điện Thoại Samsung Galaxy S26 Ultra (12GB/256GB) - Hàng Chính Hãng,27900000.0,0.0,5,https://tiki.vn/dien-thoai-samsung-galaxy-s26-ultra-12gb-256gb-hang-chinh-hang-p279185853.html?spid=279185857,Tiki,Ngành 1795,27900000.0,0.0,Tiki,True
279185842,Điện Thoại Samsung Galaxy S26+ (12GB/256GB) - Hàng Chính Hãng,21990000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-s26-12gb-256gb-hang-chinh-hang-p279185842.html?spid=279185844,Tiki,Ngành 1795,21990000.0,0.0,Tiki,True
279185812,Điện Thoại Samsung Galaxy S26 (12GB/256GB) - Hàng Chính Hãng,25990000.0,0.0,1,https://tiki.vn/dien-thoai-samsung-galaxy-s26-12gb-256gb-hang-chinh-hang-p279185812.html?spid=279185818,Tiki,Ngành 1795,25990000.0,0.0,Tiki,True
278820676,Điện Thoại Xiaomi 15T Pro 5G 12GB/512GB - Hàng Chính Hãng,16959000.0,0.0,0,https://tiki.vn/dien-thoai-xiaomi-15t-pro-5g-12gb-512gb-hang-chinh-hang-p278820676.html?spid=278820682,Tiki,Ngành 1795,16959000.0,0.0,Tiki,True
278630285,Apple iPhone Air - Xanh Da Trời - 256GB,21990000.0,5.0,53,https://tiki.vn/apple-iphone-air-p278630285.html?spid=278630803,Tiki,Ngành 1795,21990000.0,0.0,Tiki,True
278630241,Apple iPhone 17,23500000.0,5.0,249,https://tiki.vn/apple-iphone-17-p278630241.html?spid=278630827,Tiki,Ngành 1795,23500000.0,0.0,Tiki,True
278628866,Apple iPhone 17 Pro Max,33490000.0,5.0,4999,https://tiki.vn/apple-iphone-17-pro-max-p278628866.html?spid=278630786,Tiki,Ngành 1795,33490000.0,0.0,Tiki,True
278628812,Apple iPhone 17 Pro,30990000.0,5.0,443,https://tiki.vn/apple-iphone-17-pro-p278628812.html?spid=278630775,Tiki,Ngành 1795,30990000.0,0.0,Tiki,True
277812880,Máy Tính Bảng Galaxy Tab S10 FE Wifi (8GB/128GB) - Hàng Chính Hãng,11990000.0,5.0,46,https://tiki.vn/may-tinh-bang-galaxy-tab-s10-fe-wifi-8gb-128gb-hang-chinh-hang-p277812880.html?spid=277812886,Tiki,Ngành 1794,11990000.0,0.0,Tiki,True
277619147,Máy tính bảng iPad Gen 11 (A16) WiFi,11990000.0,5.0,474,https://tiki.vn/may-tinh-bang-ipad-gen-11-a16-wifi-p277619147.html?spid=277619155,Tiki,Ngành 1794,11990000.0,0.0,Tiki,True
196197701,Điện thoại Samsung Galaxy Z Fold4 5G (12GB/256GB) - Hàng chính hãng,40990000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-z-fold4-5g-12gb-256gb-hang-chinh-hang-p196197701.html?spid=196197705,Tiki,Ngành 1795,40990000.0,0.0,Tiki,True
279278848,Điện thoại Samsung Galaxy A37 5G (8GB/128GB) - Hàng chính hãng,10790000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-a37-5g-8gb-128gb-hang-chinh-hang-p279278848.html?spid=279278850,Tiki,Ngành 1795,10790000.0,0.0,Tiki,True
279277488,Điện thoại Samsung Galaxy A57 5G (8GB/128GB) - Hàng chính hãng,12490000.0,5.0,1,https://tiki.vn/dien-thoai-samsung-galaxy-a57-5g-8gb-128gb-hang-chinh-hang-p279277488.html?spid=279277490,Tiki,Ngành 1795,12490000.0,0.0,Tiki,True
279277445,Điện thoại Samsung Galaxy S26+ (12GB/512GB) - Hàng chính hãng,35990000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-s26-12gb-512gb-hang-chinh-hang-p279277445.html?spid=279277449,Tiki,Ngành 1795,35990000.0,0.0,Tiki,True
279277056,Điện thoại Samsung Galaxy S26+ (12GB/256GB) - Hàng chính hãng,29990000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-s26-12gb-256gb-hang-chinh-hang-p279277056.html?spid=279277060,Tiki,Ngành 1795,29990000.0,0.0,Tiki,True
193366048,Điện thoại OnePlus 10T 5G - Hàng Chính Hãng,15990000.0,0.0,0,https://tiki.vn/dien-thoai-oneplus-10t-5g-hang-chinh-hang-p193366048.html?spid=193366050,Tiki,Ngành 1795,15990000.0,0.0,Tiki,True
